Job Family,Total Benefits,Total Compensation,Percentage
Public Service Aide,761118.9076666667,2142868.7538333335,0.35518689901335154
Park & Zoo,199518.9275,588272.9816666667,0.33916044713583915
Energy & Environment,14254.41,43219.5,0.32981431992503385
Revenue,234438.06133333335,714626.7265,0.32805666600454714
Museum & Cultural Affairs,27037.39,83926.07,0.32215722718816686
Housekeeping & Laundry,5135090.52485714,16580999.052809522,0.30969729317890765
Street Transit,95199752.43249989,310648087.88333267,0.3064552982803268
Recreation,109562.59333333334,358814.38416666654,0.30534615714414154
Dietary & Food,2385769.899833333,7856379.203666667,0.3036729564580927
Computer Operatns & Repro Svcs,897945.5658333335,2979554.1881666663,0.3013691005854281
Semi-Skilled & General Labor,6657214.09607143,22341278.217857145,0.29797821016124265
Agriculture & Horticulture,3262731.0678333323,11006858.277000004,0.29642709897075303
Hospital Administration,664535.4533333334,2242348.9916666667,0.29635683642598615
Med Therapy & Auxiliary,2719706.4341666657,9190763.912833331,0.2959173426671379
"Payroll, Billing & Accounting",1401058.6493333336,4735016.453,0.2958930899692343
"Clerical, Secretarial & Steno",4694375.009000001,15998174.09921429,0.293431924161305
Information Systems,476449.4866666667,1629105.593,0.29246077646157015
Purchasing & Storekeeping,2026630.6534999995,6933826.689,0.29228170019234806
Pub Relations & Spec Assts,28819.732,98635.98199999999,0.2921827452379397
Personnel,546029.6881666667,1873003.0401666665,0.2915263224122044
Property Administration,26791.14333333333,93551.40999999999,0.28637882992178665
"Budget, Admn & Stats Analysis",363544.342,1277344.4790000003,0.2846094753426338
Human Services,9940982.997416662,34989367.81624998,0.2841143929671061
SF Superior Court,13636.096666666666,48377.159999999996,0.28187054938046524
Health & Sanitation Inspection,74475.0355,266694.898,0.2792518194330062
Sub-Professional Engineering,701096.8268333332,2517469.909,0.2784926343416855
Airport Operation,4746222.468,17210320.64566667,0.2757776897779668
Protection & Apprehension,16574138.617499983,60180363.60049998,0.27540775139753865
Professional Engineering,366441.88916666666,1352742.7308333332,0.2708880859710306
Skilled Labor,7512143.960999997,27968343.175833322,0.2685945289562606
Construction Inspection,2549129.047130952,9545487.007547619,0.2670507062777787
Port Operation,32223.25,121815.55,0.2645249313408674
Legal & Court,813900.8176666666,3087647.6999999993,0.263598990800235
Journeyman Trade,51968656.25602378,201325326.15561885,0.25813273098017214
"Lab, Pharmacy & Med Techs",4243332.401166667,16538164.03266666,0.2565782025613674
Nursing,18647426.716666657,74110167.55483335,0.25161765695469
Probation & Parole,502342.64099999995,2003727.921,0.25070401811304593
Public Safety Inspection,1739860.9915,6984850.455666667,0.24909065735093672
Supervisory-Labor & Trade,9644699.397,39473820.260833345,0.2443315426090048
Correction & Detention,28360953.26833332,121494374.96683337,0.23343429089680529
Administrative-Labor & Trades,495578.30166666664,2279642.8558333335,0.2173929571461341
Medical & Dental,179040.58833333335,858938.9824999999,0.2084438964595874
Fire Services,58390247.82435714,282431082.4948809,0.20674157854214034
Police Services,57004455.78254367,285430661.88579804,0.1997138478603654
