,0,1
0,quarter,22
1,economic,17
2,growth,16
3,second,16
4,federal,12
5,june,9
6,haiti,8
7,recent,8
8,reserve,8
9,new,8
10,committee,6
11,lesson,6
12,sharply,6
13,back,6
14,post,5
15,nation,5
16,country,5
17,community,5
18,help,5
19,different,5
20,global,5
21,financial,5
22,following,5
23,decade,5
24,budget,5
25,plan,5
26,earthquake,5
27,right,5
28,unlikely,4
29,bank,4
30,record,4
31,staff,4
32,christopher,4
33,weigh,4
34,first,4
35,auto,4
36,pace,4
37,probably,4
38,recession,4
39,united,4
40,gross,4
41,market,4
42,year,4
43,flat,4
44,culture,4
45,national,4
46,bond,4
47,education,4
48,start,4
49,increase,4
50,open,4
51,change,4
52,sector,4
53,disaster,3
54,economy,3
55,president,3
56,much,3
57,school,3
58,european,3
59,information,3
60,domestic,3
61,monday,3
62,product,3
63,union,3
64,state,3
65,system,3
66,decline,3
67,say,3
68,percent,3
69,number,3
70,story,3
71,upheaval,3
72,lede,3
73,trim,2
74,like,2
75,inexpensive,2
76,washington,2
77,relationship,2
78,real,2
79,month,2
80,afghanistan,2
81,past,2
82,himalayan,2
83,office,2
84,halfway,2
85,pro,2
86,bad,2
87,success,2
88,name,2
89,dire,2
90,week,2
91,ever,2
92,left,2
93,straight,2
94,middle,2
95,pessimistic,2
96,estate,2
97,bloc,2
98,sampler,2
99,oil,2
100,shed,2
101,progress,2
102,feed,2
103,anyone,2
104,important,2
105,long,2
106,claim,2
107,kid,2
108,america,2
109,romney,2
110,investor,2
111,goldman,2
112,slightly,2
113,rate,2
114,house,2
115,tiny,2
116,need,2
117,clothe,2
118,bhutan,2
119,already,2
120,match,2
121,july,2
122,overview,2
123,provide,2
124,respond,2
125,volatile,2
126,great,2
127,unemployed,2
128,able,2
129,third,2
130,measure,2
131,researching,2
132,evidence,2
133,restocking,2
134,deficit,2
135,experience,2
136,former,2
137,earth,2
138,response,2
139,equity,2
140,collapse,2
141,know,2
142,sign,2
143,region,2
144,elsewhere,2
145,spanish,2
146,monarchy,2
147,trade,2
148,rock,2
149,run,2
150,investment,2
151,boost,2
152,w,2
153,super,2
154,upward,2
155,testimony,2
156,little,2
157,wednesday,2
158,smash,2
159,historical,2
160,last,2
161,democracy,2
162,executive,2
163,austrian,2
164,prepared,2
165,mr,2
166,think,2
167,else,2
168,depression,2
169,money,2
170,tough,2
171,compare,2
172,revision,2
173,spain,2
174,counterproductive,2
175,sufficient,2
176,mate,2
177,employ,2
178,chief,2
179,self,2
180,statement,2
181,ago,2
182,presence,2
183,humanity,2
184,presenting,2
185,austerity,2
186,private,2
187,standard,2
188,sweden,2
189,high,2
190,protracted,2
191,place,2
192,pop,2
193,pac,2
194,sachs,2
195,explore,2
196,shinsei,2
197,peter,2
198,interest,2
199,turn,2
200,ownership,2
201,madrid,2
202,leonhardt,2
203,deep,2
204,star,2
205,view,2
206,sense,2
207,unexpectedly,2
208,educate,2
209,equivalent,2
210,bunch,2
211,mark,2
212,east,2
213,baltic,2
214,credit,2
215,japan,2
216,business,2
217,wholesale,2
218,spend,2
219,let,2
220,revolution,2
221,fuzzy,2
222,falco,2
223,banker,2
224,gdp,1
225,personal,1
226,implement,1
227,bet,1
228,crash,1
229,wonder,1
230,blog,1
231,depth,1
232,disagree,1
233,twice,1
234,mideast,1
235,report,1
236,american,1
237,service,1
238,escape,1
239,uwe,1
240,reinhardt,1
241,personally,1
242,activity,1
243,recently,1
244,policy,1
245,ronald,1
246,talk,1
247,way,1
248,photograph,1
249,final,1
250,dreaded,1
251,rise,1
252,human,1
253,hurricane,1
254,paper,1
255,project,1
256,hard,1
257,organization,1
258,groove,1
259,rejoicing,1
260,literacy,1
261,status,1
262,examination,1
263,juxtaposition,1
264,institute,1
265,good,1
266,unempl,1
267,teach,1
268,television,1
269,mostly,1
270,reagan,1
271,compensation,1
272,poetry,1
273,easy,1
274,winter,1
275,unemployment,1
276,course,1
277,jack,1
278,quake,1
279,attempt,1
280,jobless,1
281,physician,1
282,morning,1
283,hit,1
284,social,1
285,david,1
286,participate,1
287,choose,1
288,healy,1
289,harm,1
290,annual,1
291,watch,1
292,history,1
293,april,1
294,nothing,1
295,friday,1
296,spending,1
297,examine,1
298,devastation,1
299,interesting,1
300,bill,1
301,reveal,1
302,engage,1
303,thursday,1
304,person,1
305,stream,1
306,quarterly,1
